division,dept,course,term,year,item 1 (i found the course intellectually stimulating),item 2 (the course provided me with a deep understanding of the subject manner) ,item 3 (the instructor created a course atmosphere that was condusive to my learning),"item 4 (course projects, assignments, tests, and/or exams improved my understanding of the course material)","item 5 (course projects, assignments, tests, and/or exams provided opportunity for me to demonstrate an understanding of the course material)","item 6 (overall, the quality of my learning experience in the course was:) ",instructor generated enthusiasm,course workload,i would recommend this course,number invited,number responses,last name,description
artsc,csc,csc207h1,summer,2021,3.8,3.9,4.1,4.0,4.0,3.5,4.2,3.4,3.9,110.00,20,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2021,3.8,3.9,4.1,4.0,4.0,3.5,4.2,3.4,3.9,110.00,20,jorjani,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2021,3.8,3.9,4.1,4.0,4.0,3.5,4.2,3.4,3.9,110.00,20,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2021,3.8,3.9,4.1,4.0,4.0,3.5,4.2,3.4,3.9,110.00,20,dema,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2024,3.6,3.7,3.7,3.6,3.7,3.3,3.8,3.4,3.5,129.00,47,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2024,3.6,3.7,3.7,3.6,3.7,3.3,3.8,3.4,3.5,129.00,47,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2024,3.6,3.7,3.7,3.6,3.7,3.3,3.8,3.4,3.5,129.00,47,rohanifar,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2024,3.6,3.7,3.7,3.6,3.7,3.3,3.8,3.4,3.5,129.00,47,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2024,3.6,3.7,3.7,3.6,3.7,3.3,3.8,3.4,3.5,129.00,47,jorjani,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2024,3.6,3.7,3.7,3.6,3.7,3.3,3.8,3.4,3.5,129.00,47,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2024,3.6,3.7,3.7,3.6,3.7,3.3,3.8,3.4,3.5,129.00,47,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2024,3.6,3.7,3.7,3.6,3.7,3.3,3.8,3.4,3.5,129.00,47,jorjani,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2024,3.6,3.7,3.7,3.6,3.7,3.3,3.8,3.4,3.5,129.00,47,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2024,3.6,3.7,3.7,3.6,3.7,3.3,3.8,3.4,3.5,129.00,47,dema,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2020,4.2,4.4,4.4,4.1,4.2,3.9,4.4,3.6,4.0,114.00,25,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2020,4.2,4.4,4.4,4.1,4.2,3.9,4.4,3.6,4.0,114.00,25,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2020,4.2,4.4,4.4,4.1,4.2,3.9,4.4,3.6,4.0,114.00,25,rohanifar,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2020,4.2,4.4,4.4,4.1,4.2,3.9,4.4,3.6,4.0,114.00,25,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2020,4.2,4.4,4.4,4.1,4.2,3.9,4.4,3.6,4.0,114.00,25,jorjani,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2020,4.2,4.4,4.4,4.1,4.2,3.9,4.4,3.6,4.0,114.00,25,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2020,4.2,4.4,4.4,4.1,4.2,3.9,4.4,3.6,4.0,114.00,25,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2020,4.2,4.4,4.4,4.1,4.2,3.9,4.4,3.6,4.0,114.00,25,jorjani,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2020,4.2,4.4,4.4,4.1,4.2,3.9,4.4,3.6,4.0,114.00,25,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2020,4.2,4.4,4.4,4.1,4.2,3.9,4.4,3.6,4.0,114.00,25,dema,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2019,3.6,4.1,4.0,4.0,4.1,3.6,3.9,3.8,3.3,93.00,20,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2019,3.6,4.1,4.0,4.0,4.1,3.6,3.9,3.8,3.3,93.00,20,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2019,3.6,4.1,4.0,4.0,4.1,3.6,3.9,3.8,3.3,93.00,20,rohanifar,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2019,3.6,4.1,4.0,4.0,4.1,3.6,3.9,3.8,3.3,93.00,20,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2019,3.6,4.1,4.0,4.0,4.1,3.6,3.9,3.8,3.3,93.00,20,jorjani,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2019,3.6,4.1,4.0,4.0,4.1,3.6,3.9,3.8,3.3,93.00,20,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2019,3.6,4.1,4.0,4.0,4.1,3.6,3.9,3.8,3.3,93.00,20,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2019,3.6,4.1,4.0,4.0,4.1,3.6,3.9,3.8,3.3,93.00,20,jorjani,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2019,3.6,4.1,4.0,4.0,4.1,3.6,3.9,3.8,3.3,93.00,20,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2019,3.6,4.1,4.0,4.0,4.1,3.6,3.9,3.8,3.3,93.00,20,dema,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2019,3.6,4.1,4.3,4.0,4.1,3.6,4.3,3.8,3.3,93.00,20,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2019,3.6,4.1,4.3,4.0,4.1,3.6,4.3,3.8,3.3,93.00,20,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2019,3.6,4.1,4.3,4.0,4.1,3.6,4.3,3.8,3.3,93.00,20,rohanifar,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2019,3.6,4.1,4.3,4.0,4.1,3.6,4.3,3.8,3.3,93.00,20,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2019,3.6,4.1,4.3,4.0,4.1,3.6,4.3,3.8,3.3,93.00,20,jorjani,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2019,3.6,4.1,4.3,4.0,4.1,3.6,4.3,3.8,3.3,93.00,20,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2019,3.6,4.1,4.3,4.0,4.1,3.6,4.3,3.8,3.3,93.00,20,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2019,3.6,4.1,4.3,4.0,4.1,3.6,4.3,3.8,3.3,93.00,20,jorjani,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2019,3.6,4.1,4.3,4.0,4.1,3.6,4.3,3.8,3.3,93.00,20,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2019,3.6,4.1,4.3,4.0,4.1,3.6,4.3,3.8,3.3,93.00,20,dema,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2017,3.8,3.7,4.0,3.7,3.6,3.5,4.2,3.5,3.5,94.00,28,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2017,3.8,3.7,4.0,3.7,3.6,3.5,4.2,3.5,3.5,94.00,28,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2017,3.8,3.7,4.0,3.7,3.6,3.5,4.2,3.5,3.5,94.00,28,rohanifar,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2017,3.8,3.7,4.0,3.7,3.6,3.5,4.2,3.5,3.5,94.00,28,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2017,3.8,3.7,4.0,3.7,3.6,3.5,4.2,3.5,3.5,94.00,28,jorjani,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2017,3.8,3.7,4.0,3.7,3.6,3.5,4.2,3.5,3.5,94.00,28,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2017,3.8,3.7,4.0,3.7,3.6,3.5,4.2,3.5,3.5,94.00,28,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2017,3.8,3.7,4.0,3.7,3.6,3.5,4.2,3.5,3.5,94.00,28,jorjani,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2017,3.8,3.7,4.0,3.7,3.6,3.5,4.2,3.5,3.5,94.00,28,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2017,3.8,3.7,4.0,3.7,3.6,3.5,4.2,3.5,3.5,94.00,28,dema,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2018,3.5,3.5,3.4,3.7,4.2,3.5,3.5,3.4,3.5,109.00,31,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2018,3.5,3.5,3.4,3.7,4.2,3.5,3.5,3.4,3.5,109.00,31,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2018,3.5,3.5,3.4,3.7,4.2,3.5,3.5,3.4,3.5,109.00,31,rohanifar,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2018,3.5,3.5,3.4,3.7,4.2,3.5,3.5,3.4,3.5,109.00,31,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2018,3.5,3.5,3.4,3.7,4.2,3.5,3.5,3.4,3.5,109.00,31,jorjani,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2018,3.5,3.5,3.4,3.7,4.2,3.5,3.5,3.4,3.5,109.00,31,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2018,3.5,3.5,3.4,3.7,4.2,3.5,3.5,3.4,3.5,109.00,31,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2018,3.5,3.5,3.4,3.7,4.2,3.5,3.5,3.4,3.5,109.00,31,jorjani,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2018,3.5,3.5,3.4,3.7,4.2,3.5,3.5,3.4,3.5,109.00,31,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2018,3.5,3.5,3.4,3.7,4.2,3.5,3.5,3.4,3.5,109.00,31,dema,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2018,3.5,3.5,4.2,3.7,4.2,3.5,4.3,3.4,3.5,109.00,31,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2018,3.5,3.5,4.2,3.7,4.2,3.5,4.3,3.4,3.5,109.00,31,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2018,3.5,3.5,4.2,3.7,4.2,3.5,4.3,3.4,3.5,109.00,31,rohanifar,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2018,3.5,3.5,4.2,3.7,4.2,3.5,4.3,3.4,3.5,109.00,31,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2018,3.5,3.5,4.2,3.7,4.2,3.5,4.3,3.4,3.5,109.00,31,jorjani,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2018,3.5,3.5,4.2,3.7,4.2,3.5,4.3,3.4,3.5,109.00,31,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2018,3.5,3.5,4.2,3.7,4.2,3.5,4.3,3.4,3.5,109.00,31,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2018,3.5,3.5,4.2,3.7,4.2,3.5,4.3,3.4,3.5,109.00,31,jorjani,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2018,3.5,3.5,4.2,3.7,4.2,3.5,4.3,3.4,3.5,109.00,31,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2018,3.5,3.5,4.2,3.7,4.2,3.5,4.3,3.4,3.5,109.00,31,dema,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2016,4.0,4.0,3.9,4.1,4.1,3.7,3.9,3.7,4.0,106.00,32,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2016,4.0,4.0,3.9,4.1,4.1,3.7,3.9,3.7,4.0,106.00,32,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2016,4.0,4.0,3.9,4.1,4.1,3.7,3.9,3.7,4.0,106.00,32,rohanifar,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
artsc,csc,csc207h1,summer,2016,4.0,4.0,3.9,4.1,4.1,3.7,3.9,3.7,4.0,106.00,32,shorser,an introduction to software design and development concepts methods and tools using a staticallytyped objectoriented programming language such as java topics from version control unit testing refactoring objectoriented design and development design patterns advanced ide usage regular expressions and reflection
